ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B0812F2QRD,5.39 x 2.64 x 9.92,6,"#4,754 in Beauty & Personal Care  #9 in Men's Foil Shavers",Braun,YellowDeal,Easy Clean Electric shaver for men with 3 Flexible Blades that adapts to facial contours for a close shave made easyThe EasyClean system delivers a fast and easy cleaning without removing the shaver headLi-Ion Battery for up to 3 weeks of shaving (50 min). 5 min quick charge for one full shave100% waterproof electric razor for Wet & Dry useIncluded: Beard Trimmer attachment for beard styles from 0.5mm to 7mm,n/a,https://m.media-amazon.com/images/I/81NS1bZgumL._AC_UL320_.jpg,79.99,4.4,1380,"Braun Electric Razor for Men, Series 5 5020s Electric Shaver with Beard Trimmer, Rechargeable, Wet &amp; Dry Foil Shaver with EasyClean",https://www.amazon.com/Braun-Electric-Trimmer-Rechargeable-EasyClean/dp/B0812F2QRD/ref=sr_1_93?dchild=1&keywords=Shaver&qid=1614357289&sr=8-93,0.67
B08G146F8X,6.7 x 4.5 x 2.7,0,"#66,581 in Beauty & Personal Care  #117 in Men's Rotary Shavers",Lavieer,Lavieer,"USB QUICK-CHARGING ( wall adaptor is included ) < < With just a single hour of charging, the razor gathers enough energy to last you three to four months. Corded use while recharging is also supportable MUTE CLOSE SHAVING < < Ultra-quiet high-speed motor, double-track ultra thin spherical cutter net, and self-sharpening steel blade are combined to automatically follow every contour of your face and neck to realize a quick and seamless shaving WET AND DRY < < 100% whole-body waterproof. You can enjoy it in the shower with a gel or foam for better shaving result, and clean it under running water SMART LCD SCREEN < < On the screen, you can intuitively see your operating time, the available battery, the charging process, and the full charge reminder. And it will also remind you when need cleaning. Besides, its safety travel lock and 100-240 dual voltage make it perfect for worldwide travel POP-UP TRIMMER < < One-touch to open the Pop-up trimmer to precisely and quickly trim and detail sideburns, mustache, and any facial hairstyle",n/a,https://m.media-amazon.com/images/I/71ainAXVwpL._AC_UL320_.jpg,35.98,4.4,1282,"Electric Razor for Men - Lavieer Wet and Dry Rechargeable Mens Rotary Shaver with Pop-up Beard Trimmer Cordless Waterproof, 100-240v Worldwide Travel Universal",https://www.amazon.com/Electric-Razor-Men-Rechargeable-Waterproof/dp/B08G146F8X/ref=sr_1_91?dchild=1&keywords=Shaver&qid=1614357289&sr=8-91,0.71
B08MX76NZC,7.36 x 4.09 x 2.6,2,"#35,240 in Beauty & Personal Care  #78 in Men's Rotary Shavers",Paitree,Paitree,"Perfect Electric Shavers for Men Bald HeadFlexible 5 Shaver Heads for Close Shave, offer unique flexibility & you will get smooth performance. Please use the hair clipper to trim the hair to less than 5 mm, then use the shaver to get a perfect bald look.4-IN-1 electric Shaver Razor & Trimmer Sets- Includes beard shaver, hair clipper with 3-5-7 mm guide combs, nose hair trimmer, sideburns trimmer, meets all body shaving, grooming and cleansing needs, enjoy hair-free smooth skin without irritation. All-in-one set perfect for men.USB Fast Charging for Travel-120 minutes fully charge, enjoy 90 minutes of shaving.The shaver has an LED display, you can see the remaining power, charging status. Convenient & intelligent design, our electric head shavers are invented for travel. Shave anytime and anywhere.Ergonomic Design Head Trimmer-The ergonomically designed five-head shaver gives you a total control. Bald head shaver equipped with our signature innovative ergonomic handle which offers easy grip and perfectly fits your hand to ensure comfortable and intuitive shaving of your head and face.Excellent Customer Service-If you don't know how to change the replacement heads or don't know how to clean the shaving head, please feel free to contact us. We offer a 24 month 100% refund or replacement guarantee.",n/a,https://m.media-amazon.com/images/I/81gOroHnr5L._AC_UL320_.jpg,39.99,4.3,90,"Electric Shavers for Men, PaiTree Head Shavers for Bald Men with LED Display Faster-Charging 5D Floating Waterproof Electric Razors with Hair Clippers &amp; Nose Hair Trimmer - Blue",https://www.amazon.com/Electric-Faster-Charging-Floating-Waterproof-Clippers/dp/B08MX76NZC/ref=sr_1_92?dchild=1&keywords=Shaver&qid=1614357289&sr=8-92,0.67875
B08RK2DZ5P,n/a,0,"#44,833 in Beauty & Personal Care  #62 in Men's Foil Shavers",Panasonic,Amazon,"4-BLADE SHAVING SYSTEM FOR A PRECISE SHAVE: Shaver with micro-thin stainless-steel foils captures, lifts, and holds whiskers while four super-sharp, Micro-fit Panasonic blades cut hair cleanly at the baseSHAVE IN COMFORT WITH A FLEXIBLE, GENTLY CURVED PIVOTING HEAD: Curved shaver head moves effortlessly across the skin, gliding in a smooth, uniform motion along the chin, jawline, neck, and headEASILY CATCHES LONG HAIRS, AND TRIMS WITH PRECISION: Acute 30-degree cutting edge to cut efficiently and cleanly at the root. Pop-up trimmer facilitates beard and mustache grooming.VERSATILE WET DRY SHAVER: High-performance electric razor is perfect whether you need a quick, dry shave or prefer to use your favorite shaving foam or gel in the shower or over the sink.POWERFUL MOTOR FOR A FAST SHAVE: High-performance linear motor shaves at speeds of 14,000 cycles per minute (cpm), delivering peak performance",29-Dec-20,https://m.media-amazon.com/images/I/61KG6+A5MiL._AC_UL320_.jpg,119.99,5,1,"Panasonic Arc4 Electric Razor for Men, 4-Blade Electric Shaver with Pop-up Trimmer, Rechargable Wet &amp; Dry Foil Shaver - LA63AA",https://www.amazon.com/Panasonic-Electric-4-Blade-Trimmer-Rechargable/dp/B08RK2DZ5P/ref=sr_1_89?dchild=1&keywords=Shaver&qid=1614357289&sr=8-89,0
B08FM4V6L2,6.3 x 3 x 2.4,1,"#128,672 in Beauty & Personal Care  #219 in Men's Rotary Shavers",MAX-T,Obella Store,"FLOATING ADVANCED SHAVER HEAD 3D floating waterproof shaver, unique contour detection technology can follow your facial curve, electric shaver for man realizes fast and seamless shave, close to the skin.POP-UP TRIMMER The skin-friendly and convenient pop-up beard trimmer can easily trim side corners, but the electric shaver does not include wall adapters.WATERPROOF/WET SAHVERIPX7 is 100% waterproof. Shavers for men can be completely immersed in water, electric razor for men can easily adapt to shaving foam or gel. Bring you a more comfortable experience.USB CHARGING Electric razor USB Charge can be used continuously for 75 minutes without cords after a full charge. Automatic voltage: 100-240 V, which can be used safely and securely.QUIET HIGH-SPEED  Painless, low noise, hypoallergenicmotor-high-quality motors are not only efficient but also quiet, so you can enjoy every moment of shaving.",11-Aug-20,https://m.media-amazon.com/images/I/51RGDZGkwoL._AC_UL320_.jpg,29.99,4.5,32,"ROAMAN Electric Shaver Electric Razor for Men Cordless Rechargeable 100% Waterproof IPX7 Wet &amp; Dry Rotary Shavers for Men Electric Shaving Razors with Pop-up Trimmer,Black",https://www.amazon.com/Electric-Cordless-Rechargeable-Waterproof-Shavers/dp/B08FM4V6L2/ref=sr_1_90?dchild=1&keywords=Shaver&qid=1614357289&sr=8-90,0.683125
B07WC5R7YY,6.1 x 2.3 x 2.1,1,"#29,186 in Beauty & Personal Care  #57 in Men's Rotary Shavers",SweetLF,WWTECHUS,"A SMOOTH AND CLOSE SHAVE- The 4-direction 3D floating cutter heads with double-track ultra thin cutter net and self-sharpening steel blade design, automatically adapts to the contours of your face and neck even jaw, gives you a comfortable and close shaving experience at any timeUSB QUICK-CHARGING- Enjoy about 120 minutes shaving time (approximately 30 full shaves) with 1 hour full charge, Micro USB power port is compatible with all standard 5V USB power adapters, convenient for your daily and travel use. A micro USB power cable is includedBATTERY DISPLAY- The remaining battery charge is displayed in 5 steps so you can quickly see how much power left, reminding you of recharging when necessary, thus avoiding the unpleasant surprise of running out of power mid-shaveWET AND DRY & WATERPROOF- This is an IPX7 waterproof whole body washable electric rotary shaver, allows you to use this shaver wet or dry even in the shower with gel and foam for a better shaving experience. For easy cleaning you can rinse the razor under the tapPOP-UP TRIMMER- One-touch to open the Pop-up trimmer to precisely and quickly trim the sideburns, mustache, and any facial hairstyle",n/a,https://m.media-amazon.com/images/I/61GOQQRdXXL._AC_UL320_.jpg,36.99,4.4,684,"SweetLF Electric Shaver for Men Wet and Dry Waterproof Electric Razor Cordless 3D Rechargeable Rotary Shaver Razor for Men with Pop-up Trimmer, Black",https://www.amazon.com/SweetLF-Electric-Waterproof-Cordless-Rechargeable/dp/B07WC5R7YY/ref=sr_1_85?dchild=1&keywords=Shaver&qid=1614357289&sr=8-85,0.619375
B07YSWCHK8,2.36 x 4.72 x 7.28,3,"#15,152 in Beauty & Personal Care  #13 in Women's Foil Shavers",Philips Beauty,Ghost Monkey,"Women's electric shaver with hypoallergenic flexing foil is designed for shaving sensitive skin and peal tip trimmers to protect you from irritation.Ergonomic design allows you to comfortably shave legs, knees, ankles, underarms and bikini areaShave dry for convenience or wet with gel or foam for extra skin protection in the showerFeatures a rechargeable lithium-ion battery that provides 1 hour of cordless use - more than 3 shaves. Charge device fully before first using.Portable electric shaver comes with 4 Accessories for hair removal and travel. Trim long hairs first - in the bikini area - before shaving.",n/a,https://m.media-amazon.com/images/I/81VG3TjnzwL._AC_UL320_.jpg,38.49,4.4,1313,"Philips Satinshave Advanced Women’s Electric Shaver, Cordless Hair Removal, BRL140/51, White and Pink",https://www.amazon.com/Philips-Satinshave-Advanced-BRL140-51/dp/B07YSWCHK8/ref=sr_1_88?dchild=1&keywords=Shaver&qid=1614357289&sr=8-88,0.47375
B08KSJQKC9,n/a,2,"#19,415 in Beauty & Personal Care  #44 in Men's Rotary Shavers",Skull Shaver,Blitz LP,"PIVOTING BLADES: Ultra flexible pivoting blades for extra reach and multi-directional shaving.DESIGN: Signature patented innovative design with Pitbull blades built in a strong casing for durable use and protection.WET & DRY SAVING: Waterproof use with IPX5 Water resistance technology, Wet or dry, with shaving foam or without.CORDLESS: Powerful integrated lithium-ion battery (1400 mAh) allows quick charging and 90 minutes of cordless use to shave anywhere and anytime. USB Charging cable included. A USB Wall adapter is included.SPECIAL FEATURES: Easy Cleaning, Cordless USB Rechargeable, Battery powered with Battery life LED indicator in LCD display, perfectly works in plug and shave mode. by Skull Shaver",n/a,https://m.media-amazon.com/images/I/41EkUlXCSbL._AC_UL320_.jpg,109.99,4.5,373,Skull Shaver Pitbull Gold Pro Electic Bald Head and Face Wet or Dry Shaver with USB Adapter B2013,https://www.amazon.com/Skull-Shaver-Pitbull-Electic-Adapter/dp/B08KSJQKC9/ref=sr_1_87?dchild=1&keywords=Shaver&qid=1614357289&sr=8-87,0
B07Z5KGZKX,5.39 x 2.64 x 9.92,9,"#22,617 in Beauty & Personal Care  #43 in Men's Foil Shavers",Braun,YellowDeal,"Electric shaver for men with SensoFlex: the dermatologically tested swivel head adapts to minimize skin pressure for sensitive skinSensoFoil blades are specifically designed for closeness and skin comfort.Care & Cleaning: Clean with brush, Rinse CleanLi-Ion Battery for up to 3 weeks of shaving (50 min). 5 min quick charge for one full shave100% waterproof electric razor for Wet & Dry useIncluded: Precision Trimmer attachment for moustache and sideburns trimming",n/a,https://m.media-amazon.com/images/I/81RXd4zVAeL._AC_UL320_.jpg,99.89,4.3,650,"Braun Electric Razor for Men, Series 6 6020s SensoFlex Electric Shaver with Precision Trimmer, Rechargeable, Wet &amp; Dry Foil Shaver with Travel Case",https://www.amazon.com/Braun-Electric-SensoFlex-Precision-Rechargeable/dp/B07Z5KGZKX/ref=sr_1_86?dchild=1&keywords=Shaver&qid=1614357289&sr=8-86,0.76
B07Z5L5XM9,n/a,2,"#9,049 in Beauty & Personal Care  #18 in Men's Foil Shavers",Braun,Amazon,"Electric shaver for men with SensoFlex: the dermatologically tested swivel head adapts to minimize skin pressure for sensitive skinSensoFoil blades are specifically designed for closeness and skin comfortLi-Ion Battery for up to 3 weeks of shaving (50 min). 5 min quick charge for one full shave100% waterproof electric razor for Wet & Dry useIncluded: 4in1 SmartCare center, Beard Trimmer attachment; Material: Plastic/metal",n/a,https://m.media-amazon.com/images/I/71Qpk4G8pbL._AC_UL320_.jpg,129.94,4.5,619,"Braun Electric Razor for Men, Series 6 6075cc SensoFlex Electric Shaver with Beard Trimmer, Rechargeable, Wet &amp; Dry Foil Shaver with 4in1 SmartCare Center and Travel Case",https://www.amazon.com/Braun-Electric-SensoFlex-Rechargeable-SmartCare/dp/B07Z5L5XM9/ref=sr_1_84?dchild=1&keywords=Shaver&qid=1614357289&sr=8-84,0
