ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B07QG4PZQS,28.35 x 26.97 x 51.18,0,"#13,797 in Home & Kitchen #55 in Home Office Desk Chairs",XUER Store,XUER,"HIGH STANDARD: XUER office chairs have been certified by BIFMA and SGS, passed 2504lbs static pressure test. It can carry a weight of up to 330lbs and seat cushion made of sponge with mesh-covered will last for a long time.ADJUSTABLE FUNCTION: Multi-dimensional free rotating headrest protects the cervical vertebra, adjustable arms in PU covered, 3.93in height adjustable gas lift and 360 rotation are flexible and suitable for your office environment. The tilt function with position lock and 126  back adjustment are ready for your office rest.THICK SEAT CUSHION: With the W-shaped design, you can always sit in the middle of the chair and get the necessary support from the backrest. The front edge of the seat looks like a waterfall and reduces the pressure on the thighs as much as possible while sitting down.COZY & EASY ASSEMBLY: You can also adjust the seat height, back, and armrests flexibly to the positions that fit your posture best. Anyone can even install this chair in a few steps by using the manual, no extra tools are needed for assembly.NO WORRY: If you have any questions about the quality of the product, please feel free to contact us. Once we have confirmed the problem, you can replace the damage parts and missing parts within one year for free.",10-Apr-19,https://m.media-amazon.com/images/I/71UUH5GgUUL._AC_UL320_.jpg,219.99,4.5,1028,"XUER Ergonomics Office Chair Mesh Computer Desk Chair,Adjustable Headrests Chair Backrest and Armrest's Mesh Chair (Black)",https://www.amazon.com/XUER-Ergonomics-Computer-Adjustable-Headrests/dp/B07QG4PZQS/ref=sr_1_64?dchild=1&keywords=chair&qid=1614191841&sr=8-64,45.7
B08LNHHGK2,23.6 x 23.6 x 40,3,"#14,213 in Home & Kitchen #56 in Home Office Desk Chairs",BERLMAN Store,Zenith Furniture Inc.,"Comfortable-- High dinsity sponge and wide seat offer super suport for your body.Breathable-- Mesh back with lumbar support office chair keep you comfortable all day work.Durability-- desk chair frame made of High quality material which can be used for years.Adjustable-- Seat height and backrest leaning function when you need rest.Easy to assemble-- Come with clear instruction, Sturdiness footbase and wheels be made for 250lb capacity.",25-Nov-19,https://m.media-amazon.com/images/I/71MpaEp+-nL._AC_UL320_.jpg,89.99,4.3,2107,BERLMAN Mid Back Mesh Office Chair Adjustable Height Desk Chair Swivel Chair Computer Chair with Armrest Lumbar Support (Black),https://www.amazon.com/BERLMAN-Adjustable-Computer-Armrest-Support/dp/B08LNHHGK2/ref=sr_1_66?dchild=1&keywords=chair&qid=1614191841&sr=8-66,24.8
B08QRGQNQ3,n/a,0,"#4,443 in Home & Kitchen #12 in Video Game Chairs",Bigzzia,The Southern River,"Color - Pink and WhiteMaterial - LeatherManufacturer's Suggested Maximum Weight - 136 KilogramsThis gaming chair is suitable for you to play computer games, watch show, do the work and have a rest. It will make your space more modern and elegant.Ergonomic Design - Strong metal frame designed to help promote a comfortable seated positionDesigned to be your go-to gaming chair. We guarantee 3 things: first-rate materials, top-notch quality, and exceptional customer service.EASY ASSEMBLY  Our chair comes ready to assemble, with all the hardware and necessary tools. With step-by-step instructions, youll be set up and ready to game, take on the office in about 10-15 minutes!",16-Dec-20,https://m.media-amazon.com/images/I/61Wkxgpb5AL._AC_UL320_.jpg,99.99,4,91,Gaming Chair Office Chair Desk Chair Computer Chair Swivel Chair for Teens Adults Girls(Pink),https://www.amazon.com/Gaming-Office-Computer-Swivel-Adults/dp/B08QRGQNQ3/ref=sr_1_63?dchild=1&keywords=chair&qid=1614191841&sr=8-63,0
B07S574Z4R,31 x 28.5 x 44.75,7,"#13,105 in Home & Kitchen #53 in Home Office Desk Chairs",AmazonCommercial Store,Amazon.com,"Adjustable high-back executive chair for home or office work spaces; BIFMA certifiedOverall Dimensions: 41.75"" - 44.75"" H x 28.5 W x 31"" D, weighs 42 lbs and holds up to 275 lbsDimension of seat cushion: 21.5'' W x 21.5'' D | Seat height can be adjusted between 19"" ~ 22''Upholstered in quality leather for style and durabilityErgonomic design with segmented padding on the seat and backFlip-up arm rests to allow for more flexibility and motion-range when desiredSturdy framework set on a 5-point aluminum base with oversized rolling caster wheels for extra durability and mobility; 360 degree swivel",24-Sep-19,https://m.media-amazon.com/images/I/81+NaoUOOrL._AC_UL320_.jpg,215.14,4.3,1064,"AmazonCommercial Ergonomic High-Back Bonded Leather Executive Chair with Flip-Up Arms and Lumbar Support, Black",https://www.amazon.com/AmazonCommercial-Ergonomic-High-Back-Leather-Executive/dp/B07S574Z4R/ref=sr_1_62?dchild=1&keywords=chair&qid=1614191841&sr=8-62,42
B08H23KDXH,20.1 x 17.5 x 35.8,7,"#20,542 in Home & Kitchen #75 in Home Office Desk Chairs",MOLENTS,MOLENTS-Office,"Ergonomic and Armless Design This ergonomic home office chair back takes advantage of the human body curve design. Great suitability and wont cause fatigue after sitting for a long period. In addition, armless design saves your indoor space.Sitting Comfortable and Weight Capacity (250LBS)  Get to work in this dapper office armless chair! Enveloped in high-quality sponge filling, upholstery with fabric cloth, the comfortable thick seat features an arched backrest for lumbar support, while its good resilience seat provides added comfort and support.360Move Smoothly and Height Adjustable Pu wheels prevent marks while making this rolling chair compatible with carpeted floors. Swivel 360and move freely. Plus, the seat height can be adjusted to find that perfect position(16 to 20).Reliable Certification & Easy to Install BIFMA certified for whole chair, and promise the best quality of chair material, The gas lift has passed the SGS testing. The product manual in the box can help you to complete the assembly quickly. It is also equipped with assembly tools, without worrying about laborious to install. This desk swivel chair can usually be completed in about 10 minutes.",31-Aug-20,https://m.media-amazon.com/images/I/81yJAcl9aiL._AC_UL320_.jpg,89.99,4.4,569,"MOLENTS Armless Office Chair Mesh Desk Chair Small Ergonomic Computer Task Chair Mid Back Swivel Chair with Adjustable Height for Adults and Kids,Black No Armrest Home Office Chair for Small Spaces",https://www.amazon.com/MOLENTS-Armless-Ergonomic-Computer-Adjustable/dp/B08H23KDXH/ref=sr_1_60?dchild=1&keywords=chair&qid=1614191841&sr=8-60,15.22
B006IY89ZA,26 x 26.5 x 39,16,"#6,475 in Home & Kitchen #31 in Home Office Desk Chairs",Modway Store,Amazon.com,"ERGONOMIC OFFICE CHAIR - Featuring reliable ergonomic support, Articulate comes with a breathable mesh back, passive lumbar support, and generously padded and contoured 6 thick mesh seat cushionRELIABLE COMFORT - Designed with productivity in mind, Articulate is perfect for everyday use. Sturdy and supportive, this executive office chair holds up to 331 lbs and comes in a variety of colorsADJUSTABLE SEATING - Articulate is a computer chair that easily adjusts to your needs with height adjustable armrests, one-touch chair height adjustment, 360 degree swivel, and a tilt and lock systemOFFICE UPDATE - Refresh your office space with this versatile choice for computer desks and workstations. Enjoy mobility over carpeted or hardwood floors with five dual-wheel castersOFFICE CHAIR MEASUREMENTS - Product Dimensions: 26.5""L x 26""W x 34 - 39""H; Armrest Height: 27.5H - 32""H; Backrest Height: 22""H",n/a,https://m.media-amazon.com/images/I/715tYiaXBtL._AC_UL320_.jpg,171.5,4.1,3731,Modway EEI-757-BLK Articulate Ergonomic Mesh Office Chair in Black,https://www.amazon.com/Modway-Articulate-Ergonomic-Office-Chair/dp/B006IY89ZA/ref=sr_1_59?dchild=1&keywords=chair&qid=1614191841&sr=8-59,36
B00JRE37Z0,25.8 x 25.5 x 20.7,7,"#28,269 in Home & Kitchen #105 in Home Office Desk Chairs",WORKPRO Store,"Office Depot, Inc.",Furniture,13-Sep-13,https://m.media-amazon.com/images/I/61XMP9X2wwL._AC_UL320_.jpg,315.99,4.6,294,"WorkPro Quantum 9000 Series Ergonomic Mid-Back Mesh/Mesh Chair, Black",https://www.amazon.com/WorkPro-Quantum-Ergonomic-Mid-Back-Chair/dp/B00JRE37Z0/ref=sr_1_58?dchild=1&keywords=chair&qid=1614191841&sr=8-58,59.7
B003G4OJK4,26.18 x 24.8 x 15.75,59,"#43,720 in Home & Kitchen #151 in Home Office Desk Chairs",Alera,BTC Quality,"Multifunction mechanism allows Back angle adjustment relative to seat, adjustable tilt (free floating or infinite locking positions) and forward tiltCool, breathable mesh BackContoured Seat Cushion with premium fabric upholstery and waterfall edge to help relieve pressure on legs",21-Jun-07,https://m.media-amazon.com/images/I/7134KSWrWhL._AC_UL320_.jpg,142.49,4.2,1010,"Alera Elusion Series Mesh Mid-Back Multifunction Chair, Black",https://www.amazon.com/Alera-ALEEL42ME10B-Elusion-Mid-Back-Multifunction/dp/B003G4OJK4/ref=sr_1_61?dchild=1&keywords=chair&qid=1614191841&sr=8-61,56.2
B08G8PXZ4H,6.46 x 2.8 x 1.73,0,"#23,225 in Home & Kitchen #85 in Home Office Desk Chairs",VDE,VDE Industries,"Universally Fits All Height Adjusting Gas Cylinder ChairsNo Tools, Screws or Disassembly of Chairs or Cylinders RequiredStops Your Office Chair Sinking When The Cylinder FailsTakes Seconds To FitCheap, Effective, and Easy to install alternative to gas cylinders",19-Aug-20,https://m.media-amazon.com/images/I/41x3UvJA7IL._AC_UL320_.jpg,15.95,4.2,161,Fix A Sinking Office Chair - No Gas Lift Cylinder or Tools Required - Replacement Office Chair Gas Lift Cylinder Alternative,https://www.amazon.com/Fix-Sinking-Office-Chair-Replacement/dp/B08G8PXZ4H/ref=sr_1_55?dchild=1&keywords=chair&qid=1614191841&sr=8-55,0.0925
B08D65QFCX,24.01 x 26.77 x 28.74,0,"#18,001 in Home & Kitchen #11 in Living Room Chairs",BELLEZE,OneBigOutlet,"Designed for small spaces, this chair is a perfect accent to any room and easily matches the traditional and modern decor.Firm foam and pocket coils for hours of comfort, covered in elegant quality upholstery that is easy to clean and soft to the touch.Mixed hardwood frame for lasting strength along with solid wood tapered legs in a dark espresso finish for a touch of style.A traditional design gets a seriously stylish update in this contemporary barrel chairFaux Leather material shows an elegant appearance but feels soft when you're sitting on the upholstered chair",16-Jul-20,https://m.media-amazon.com/images/I/71o3PFE+kgL._AC_UL320_.jpg,115.99,4.6,65,"BELLEZE Upholstered Barrel Chair Tub Club Armrest Faux Leather Living Room, Caramel",https://www.amazon.com/BELLEZE-Upholstered-Armrest-Leather-Caramel/dp/B08D65QFCX/ref=sr_1_56?dchild=1&keywords=chair&qid=1614191841&sr=8-56,26.5
