ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B01N14P6L6,5.79 x 5 x 0.91,7,"#8,939 in Office Products #202 in Ballpoint Pens",MARVY UCHIDA - LE PEN,H&amp;I Resources,n/a,"January 25, 2017",https://m.media-amazon.com/images/I/71oUyIRce-L._AC_UL320_.jpg,22.98,4.8,416,Black Le Pen (12 Pack) - 4300 Series,https://www.amazon.com/Black-Pen-12-Pack-4300/dp/B01N14P6L6/ref=sr_1_183?dchild=1&keywords=pen&qid=1614289054&sr=8-183,0.1
B08WG32V9S,6.93 x 3.31 x 1.61,0,"#39,293 in Office Products #154 in Fountain Pens",Parker,amazon,"Parker 51 is a modern take on the original icon once hailed as the worlds most wanted first launched in 1941Durable glossy Midnight Blue precious resin barrel and stainless steel cap with palladium finish trims and the signature PARKER arrow clipFeaturing a unique hooded stainless steel nib delivering a writing experience that is both reliable and personalA distinctive streamlined silhouette with a seamless transition from barrel to nib, benefitting from Parkers expertise for superior craftmanshipA unique yet sophisticated gift, your Parker 51 fountain pen is presented in a premium PARKER gift box with a long black QUINK ink cartridge","February 20, 2021",https://m.media-amazon.com/images/I/91ICf-UCYQL._AC_UL320_.jpg,73.78,0,0,Parker 51 Fountain Pen | Midnight Blue Barrel with Chrome Trim | Fine Nib with Black Ink Cartridge | Gift Box,https://www.amazon.com/Parker-Fountain-Midnight-Barrel-Cartridge/dp/B08WG32V9S/ref=sr_1_181?dchild=1&keywords=pen&qid=1614289054&sr=8-181,0.50625
B08JSQKRTH,3.94 x 0.2 x 0.2,1,"#13,783 in Office Products #103 in Ink Pen Refills",ChaoQ,CHAOQ,"Dimension - The total length is 9.9cm(3.9 inch) 1mm medium tip blue inkSmooth writing quality - The body of the refill is made of stainless steel,feeling light and premiumFit various writing occasion: Metal ballpoint pen refill is suitable for office, business, school and home etc.The high - Quality refills with 1.0mm point provide a smooth and consistent ink flow for a superb writing experiencePackage: (Blue ink refills pack of 6);Carefully compare the look and dimensions of the refill to match the original refill before purchasing","September 23, 2020",https://m.media-amazon.com/images/I/61eQaGhK4wL._AC_UL320_.jpg,4.99,4.6,45,"Blue Ink Refills (6pcs), Replaceable Ballpoint Pens Refills, 1mm Medium Tip - Blue",https://www.amazon.com/Blue-Refills-Replaceable-Ballpoint-Medium/dp/B08JSQKRTH/ref=sr_1_182?dchild=1&keywords=pen&qid=1614289054&sr=8-182,0.0198125
B089WL37SK,5.6 x 3 x 1.4,1,"#14,224 in Office Products #386 in Gel Ink Pens",PILOT Store,amazon,"THE IDEAL PEN FOR OVERACHIEVERS: The smooth writing, long-lasting Pilot G2 Premium Gel Ink Pen features a comfortable rubber grip, & is available in ultra fine, extra fine, fine, & bold point.LONGEST LASTING, REFILLABLE GEL INK: Proven to be the longest writing gel ink pen among top brands, the smooth-writing, retractable G2 gel ink pen is a classic choice for all your writing needs.PERECTLY SUITED FOR YOU: If you love the original Pilot G2, you'll want to try our full G2 line of Mini, Metallic, Mosaic, & Fashion gel ink pens in a variety of sizes, barrel designs & colors.TRUSTED QUALITY: We've been making pens for over 100 years. Whether you're taking notes, stocking up on school or office supplies, or writing in a bullet journal, Pilot has the perfect pen for you!POWER TO THE PEN: Pilot makes exceptional writing instruments to suit all your needs. We have fountain, ballpoint, retractable, erasable & gel ink pens, whiteboard markers & more for every writing style.","June 9, 2020",https://m.media-amazon.com/images/I/816eTP-nWfL._AC_UL320_.jpg,21.50,4.9,41,"PILOT G2 Premium Refillable &amp; Retractable Rolling Ball Gel Pens, Bold Point, Black Ink, 14-Pack (15394)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A05781593L3LQ47RZO1ZQ&url=%2FPILOT-Premium-Refillable-Retractable-Rolling%2Fdp%2FB089WL37SK%2Fref%3Dsr_1_194_sspa%3Fdchild%3D1%26keywords%3Dpen%26qid%3D1614289057%26sr%3D8-194-spons%26psc%3D1&qualifier=1614289061&id=7992506811883805&widgetName=sp_atf_next,0.3
B001Q4HUNO,2.9 x 5.6 x 6.1,35,#395 in Office Products #10 in Ballpoint Pens,BIC Store,amazon,Number 1 selling ball pen. Source: the npt group/ Retail Tracking service/ U. S. Actual unit sales (Retail & commercial combined)/ Jul. 2016-Jun 2017Writes 90% longer on average than paper Mate Ink Joy 100 ball stick pen (paper Mate and Ink Joy are trademarks of Newell or an affiliate. Newell has not sponsored or approved and is not affiliated with this BIC branded product. )Flexible round barrel for writing comfortReliable tungsten carbide ball spreads ink smoothly and consistentlyTranslucent barrel shows the ink level,"September 27, 2017",https://m.media-amazon.com/images/I/81+C02zcK3L._AC_UL320_.jpg,6.48,4.8,12924,"BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Blue, 60-Count (GSM609-BLUE)",https://www.amazon.com/BIC-Round-Ballpoint-Medium-60-Count/dp/B001Q4HUNO/ref=sr_1_180?dchild=1&keywords=pen&qid=1614289054&sr=8-180,0.66875
B08LHG2HMP,6.65 x 2.6 x 1.22,1,"#12,502 in Office Products #32 in Calligraphy Pens#142 in Drawing Pens",ANHUIQC,Qucheng Technology,"Inks Automatic fading disappears after writing for a period of time,restoring the original style. Affordable, classic appearance, easy to use. Great toys for Baby, Funny Magic Invisible Ink Disappearing Pen with Blue Ink Ball Point Vanishing in 5 minutes This high-tech product is made of imported new materials and advanced technology. Safe and environmentally friendly materials, please feel free to use. Package includes:20 refills ,2 pen shell, 2 pen holder You have any questions or come across any issue about the Magic Practice Copybook, please feel free to leave us a message via your Amazon account, well be there and ready to help!","October 21, 2020",https://m.media-amazon.com/images/I/71A3Mjt0EhL._AC_UL320_.jpg,7.99,3.9,74,"Auto Disappearing Ink Magic Pens for Kids, Reusable Magic Practice Pens,Calligraphic Letter, Number, Animal Drawing,for Kid(2 x Pen (20Refills))",https://www.amazon.com/Disappearing-Reusable-Practice-Calligraphic-20Refills/dp/B08LHG2HMP/ref=sr_1_179?dchild=1&keywords=pen&qid=1614289054&sr=8-179,0.09
B08ST8ZSR2,10.39 x 5.08 x 1.81,1,"#67,422 in Office Products #315 in Fountain Pens",N.1,Ideal version,"APPLICATION: Unique retro fountain pen has a stylish antique design. Suitable for hobbies, calligraphy, weddings, party invitations, celebrations and other special events. A wonderful gift for everyone who loves unique gifts. Our fountain pen is very comfortable to hold in your hand. She looks solid and allows you to get great pleasure from writing.MATERIAL: The feather is synthetic, not natural. Unlike natural feather, our feather does not cause allergies, does not deteriorate and looks stylish for a long time. The pen tip is made of high quality metal. Does not scratch paper. The nib allows you to write fluently.COMPOSITION OF THE SET: The set includes everything you need to do calligraphy. There is no need to buy ink separately. The set also contains different nibs for different types of writing. The exquisite set includes 6 stainless steel pen nibs, 1 fountain pen, 1 ink bottle, 1 pen holder, gift box.HIGH QUALITY: The product is made only from high quality safe materials. Includes premium ink. However, this kit is not intended for small children.MONEY BACK GUARANTEE: We guarantee that the quality of this kit is very high and therefore we will refund your money if the product does not suit you.","January 12, 2021",https://m.media-amazon.com/images/I/4173wa5Ih7L._AC_UL320_.jpg,12.49,5.0,1,Antique Calligraphy Fountain Pen Set - World Map Series: White Speckled Feather + Pen Stand Base + Ink Bottle (Ink Included) + 5 Replacement Nibs + Gift Box,https://www.amazon.com/Antique-Calligraphy-Fountain-Pen-Set/dp/B08ST8ZSR2/ref=sr_1_178?dchild=1&keywords=pen&qid=1614289054&sr=8-178,0.61875
B07R5BLZWL,5.7 x 6.9 x 0.7,1,"#5,222 in Office Products #22 in Liquid Ink Rollerball Pens",Inc. Store,"Peachtree Playthings, Inc.","FREE FLOWING INK - Free flowing liquid ink system creates smooth, crisp precise lines. Liquid ink creates a smooth, even flow that won't skip when writingCOMFORT GRIP - Rubberized grip offers comfort and control for hours of pain-free writingLOW PRESSURE WRITING - Write easily and for long periods of time with low-pressure writing that glides easily across the pageDURABLE FEEL - High performance ink pens feature precise tip to provide a durable feel, maximum control, and attractive appearance without the high price tagMULTIPLE USES - R2 Rollerball pens will compliment all of your handwritten notes for home, school, the office , journals and more","April 26, 2019",https://m.media-amazon.com/images/I/81tjkiOMvOL._AC_UL320_.jpg,9.99,4.6,702,"INC R2 ROLLERBALL 0.7 MM Tip Medium Point 12 Count Comfort Grip R-2 Roller ball Pens with Free Flowing Liquid Ink for Smooth Writing, Premium Black Ink Pens for Home, School or Office",https://www.amazon.com/Rollerball-Pens-Black-liquid-Count/dp/B07R5BLZWL/ref=sr_1_177?dchild=1&keywords=pen&qid=1614289054&sr=8-177,0.41875
B07FK49PV6,4.72 x 4.72 x 4.72,0,"#88,631 in Office Products #206 in Liquid Ink Rollerball Pens",MONTBLANC,Global Lifestyle Brands,MONTBLANC Black Resin Meisterstueck Red Gold-Coated Classique Rollerball PenMade for unisexIDENT: 112678,"January 31, 2018",https://m.media-amazon.com/images/I/61lDOKRFBfL._AC_UL320_.jpg,351.82,4.3,3,Montblanc Meisterstuck 112678 Black Rollerball Pen,https://www.amazon.com/Montblanc-Meisterstuck-112678-Black-Rollerball/dp/B07FK49PV6/ref=sr_1_172?dchild=1&keywords=pen&qid=1614289054&sr=8-172,0.65
B07KBM5GNL,0.68 x 5.88 x 7.25,2,"#1,490 in Office Products #36 in Ballpoint Pens",PILOT Store,amazon,"PILOT PRECISE V5: This rolling ball pen has a patented extra fine precision tip to deliver smooth, skip-free writing every time. Our unique ink formula maintains even, flowing strokes for precise writing.PRECISION POINT: You'll love the clean lines & even ink delivery of this rolling ball pen. Available in black, blue, red, turquoise, purple, & green ink. Visible ink supply means you'll never run dry!DESIGNED TO DELIGHT: If you love Pilot Precise pens, you'll want to try the full line of Precise V5, V5 Deco Collection, & V7 rolling ball pens, available in capped & retractable options.TRUSTED QUALITY: We've been making pens for over 100 years. Whether you're taking notes, stocking up on school or office supplies, or writing in a bullet journal, Pilot has the perfect pen for you!POWER TO THE PEN: Pilot makes exceptional writing instruments to suit all your needs. We have fountain, ballpoint, retractable, erasable & gel ink pens, whiteboard markers & more for every writing style.","November 8, 2018",https://m.media-amazon.com/images/I/81qYmHP0-gL._AC_UL320_.jpg,14.99,4.9,1442,"PILOT Precise V5 Stick Liquid Ink Rolling Ball Stick Pens, Extra Fine Point (0.5mm) Assorted Ink Colors, 10-Pack (12562)",https://www.amazon.com/Pilot-Precise-Rolling-Colors-12562/dp/B07KBM5GNL/ref=sr_1_170?dchild=1&keywords=pen&qid=1614289054&sr=8-170,0.23125
