ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B08D5MNWBH,38.39 x 5.51 x 23.62,1,"#77,495 in Electronics #543 in LED & LCD TVs",Konka,Konka North America,"Android TV includes the Google Play Store for simple access to over 500,000 Movies and TV Shows. Built-in Google Assistant allows you to search for your desired video content, ask questions to get useful information, play your favorite music, or even control your applicable Smart Home devices, all with just your voice. Plus, Konka includes the Voice Control Remote to make this possible right out of the box.Konka ZeroBezel Design is a stunning frameless cosmetic design concept for virtually edge-to-edge screen. This new minimalist design blends easily into any home dcor.1080p Full HD Resolution for clearer, and more detailed imagesThe Voice Control Remote is Included! (So, you dont have to spend up to $20 to buy one) With Konka, you get a better overall experience as you can control your TV and find your favorite content using just your voice, right out of the box.Complete Jack Pack with 3 HDMI Digital Inputs, A/V Inputs, 2 USB Inputs, Ethernet Port, RF Antenna Input, Digital Audio Out and Headphone Jack. So, you are connected!",16-Jul-20,https://m.media-amazon.com/images/I/61uOZ8R4MnL._AC_UY218_.jpg,219.99,3.7,6,"Konka 40-Inch Class H3 Series 1080p Full HD Smart TV with Android TV and Voice Remote (40H33A, 2020 Model)",https://www.amazon.com/Konka-40-Inch-Android-Remote-40H33A/dp/B08D5MNWBH/ref=sr_1_195?dchild=1&keywords=TV&qid=1614296773&sr=8-195,19.71
B07MCVMNXW,57.3 x 33.3 x 3.1,4,"#80,360 in Electronics #567 in LED & LCD TVs",TCL,n/a,"This refurbished product is tested and certified to look and work like new. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, and may arrive in a generic box",14-Jan-19,https://m.media-amazon.com/images/I/61IFMJp1UKL._AC_UY218_.jpg,0,4.2,8,"TCL 65"" Class (64.5"" Diag) 4K UHD ROKU LED LCD (65S423)",https://www.amazon.com/TCL-Class-64-5-Diag-65S423/dp/B07MCVMNXW/ref=sr_1_185?dchild=1&keywords=TV&qid=1614296770&sr=8-185,38.8
B00SFSU53G,17.13 x 9.17 x 3.19,2,#10 in TV Mounts#15 in Electronics Mounts,Mounting Dream,Mounting Dream,"UNIVERSAL TV MOUNT The TV wall mount fits for most 32-55 inch TVs up to 99 lbs., with max VESA of 400mm x 400mm/16"" x 16"" and 16 inch wood studs spacing. Not perfect? Please check MD2380-24K, MD2380-24 or MD2298 for your best idea.UPGRADE VIEWING EXPERIENCE This full motion TV mount tilts TV up 5 and down 15 to reduce glare, swivels TV left or right according to your seat position. Pulls out to 15. 2 inch and retracts back to 3 inch, making your TV alive to move.EASY INSTALLATION TV wall mounts with clear instruction and hardware in pre-labeled bags. +/-3 post-installation adjustment allows perfect TV leveling after installation. The paper template makes the installation of the wall mount TV bracket easier. The TV mounts with considerable design for Allen key storage.HEAVY-DUTY UNIT TV wall mount swivel and tilt designed with 6 articulating arms. The technology of robot welding makes this wall mount TV bracket sturdy and safe. This full motion TV wall mount has passed UL Test.US-BASED CUSTOMER SUPPORTWe are glad to answer your pre-purchase and installation questions about TV mounts. Mounting Dream TV wall mounts are NOT FOR DRYWALL INSTALLATION. Concrete anchors will be shipped if needed.",19-Jan-15,https://m.media-amazon.com/images/I/71LJg5AtFmL._AC_UY218_.jpg,39.99,4.8,26356,"Mounting Dream UL Listed TV Mount TV Wall Mount with Swivel and Tilt for Most 32-55 Inch TV, Full Motion TV Mount with Articulating Dual Arms, Max VESA 400x400mm, 99 lbs. Loading, 16 inch Studs MD2380",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg13_1?ie=UTF8&adId=A08609651MPF0AC9V20WI&url=%2FMounting-Dream-Bracket-Articulating-400x400mm%2Fdp%2FB00SFSU53G%2Fref%3Dsr_1_203_sspa%3Fdchild%3D1%26keywords%3DTV%26qid%3D1614296773%26sr%3D8-203-spons%26psc%3D1%26smid%3DA2QJV1LHQIKRFO&qualifier=1614296776&id=1625481201896791&widgetName=sp_mtf,12.7
B08HR4RYBM,72 x 44 x 9,0,"#27,195 in Electronics #240 in LED & LCD TVs",LG,Beach Camera Same Day Shipping,n/a,25-Feb-21,https://m.media-amazon.com/images/I/61kVBf+DUYL._AC_UY218_.jpg,889,4.1,22,LG 70UN7070PUA 70 inch UHD 70 Series 4K HDR AI Smart TV Bundle with 1 Year Extended Protection Plan,https://www.amazon.com/LG-70UN7070PUA-Bundle-Extended-Protection/dp/B08HR4RYBM/ref=sr_1_184?dchild=1&keywords=TV&qid=1614296770&sr=8-184,49.9
B08FNR4YMM,34 x 8 x 20,2,"#67,505 in Electronics #486 in LED & LCD TVs",SAMSUNG,Beach Camera Same Day Shipping,"SAMSUNG AUTHORIZED DEALER - Includes Full SAMSUNG USA WARRANTYSamsung UN50TU8000 50"" 4K Ultra HD Smart LED TV (2020 Model)Crystal Processing 4K Universal Guide | HDR & Energy Star Certified | Smart TV Powered by TizenIn The BOX INCLUDES: 4K Ultra HD Smart LED TV (2020 Model) | Standard Smart Remote (TM2050A) | Remote Control Battery | Power Cable | User Manual | E-Manual | Samsung Authorized USA Dealer WarrantyBUNDLE INCLUDES: Premiere Movies Streaming 2020 Digital Download Card for PC | Deco Mount 37"" - 70"" TV Wall Mount Bracket with Tilt Function, Universal Mounting Hardware | SurgePro 6 NT 750 Joule 6-Outlet Surge Adapter with Night Light | 2x Deco Gear 6FT Universal 4K HDMI 2.0 Cable with 28AWG Pure Copper Conductors",12-Feb-21,https://m.media-amazon.com/images/I/71h7TiYmpfL._AC_UY218_.jpg,547.99,4.5,33,"SAMSUNG UN50TU8000 50"" 4K Ultra HD Smart LED TV (2020 Model) Bundle with Premiere Movies Streaming 2020 + 30-70 Inch TV Wall Mount + 6-Outlet Surge Adapter + 2X 6FT 4K HDMI 2.0 Cable",https://www.amazon.com/SAMSUNG-UN50TU8000-Premiere-Streaming-6-Outlet/dp/B08FNR4YMM/ref=sr_1_182?dchild=1&keywords=TV&qid=1614296770&sr=8-182,31.6
B08D5Y6ZK2,54.72 x 5.91 x 32.95,2,"#19,500 in Electronics #177 in LED & LCD TVs",Konka,Konka North America,"4K Ultra HD Resolution with the Konka XC3 Quad Core+ Ultra HD Engine for Xtreme Clarity, Contrast and Color. CrystalView combines Intelligent UHD Upscaling, Motion-Estimated Digital Noise Reduction, Multi-Band Sharpness Enhancer, and Detail Enhancer, for crystal clear images. DeepBlack creates darker blacks for deeper images, while maintaining grayscale image detail. PurePalette utilizes a wider color palette and multi-adaptive algorithms to create images that are rich and colorful.Android TV includes the Google Play Store for simple access to over 500,000 Movies and TV Shows. Built-in Google Assistant allows you to search for your desired video content, ask questions to get useful information, play your favorite music, or even control your applicable Smart Home devices, all with just your voice. Plus, Konka includes the Voice Control Remote to make this possible right out of the box.Konka ZeroBezel Design is a stunning frameless cosmetic design concept for virtually edge-to-edge screen. This new minimalist design blends easily into any home decor.HiBright Pro LED Backlighting creates brighter, more dynamic images that better maintain their picture quality in rooms with brighter ambient lighting, or sunlight from uncovered windows. HiBright Pro is noticeably brighter, providing 25%+ more brightness than a standard display, because brighter is better.ColorWave Wide Color Gamut panel technology provides over one billion colors for higher color purity, producing incredibly brilliant images with deeper and more accurate colors.",17-Jul-20,https://m.media-amazon.com/images/I/81Y0WmtqCpL._AC_UY218_.jpg,399.99,4.3,74,"Konka 55-Inch Class U5 Series 4K Ultra HD Smart TV with Android TV and Voice Remote (55U55A, 2020 Model)",https://www.amazon.com/Konka-55-Inch-Android-Remote-55U55A/dp/B08D5Y6ZK2/ref=sr_1_183?dchild=1&keywords=TV&qid=1614296770&sr=8-183,36.9
B0851GJGYC,50.8 x 9.8 x 32.3,2,"#80,631 in Electronics #570 in LED & LCD TVs",SAMSUNG,AV Toy Store,"Samsung 58"" 4K Ultra HD Smart LED TV 2020 ModelThe ultra-fast processor transforms everything you watch into stunning 4KIN THE BOX: Samsung Remote - Power CableBUNDLE INCLUDES: Samsung 58"" 4K Ultra HD Smart LED TV 2020 Model1 YEAR EXTENDED WARRANTY in ADDITION to the Included FULL Manufacturer WARRANTY",26-May-20,https://m.media-amazon.com/images/I/71B5YN3w1AL._AC_UY218_.jpg,693,4.5,198,SAMSUNG UN58TU7000FXZA 58 inch 4K Ultra HD Smart LED TV 2020 Model Bundle with Support Extension,https://www.amazon.com/SAMSUNG-UN58TU7000FXZA-Bundle-Extended-Protection/dp/B0851GJGYC/ref=sr_1_181?dchild=1&keywords=TV&qid=1614296770&sr=8-181,34
B087QRYTHM,43 x 27 x 6,2,"#203,353 in Electronics #335 in QLED TVs",Amazon,n/a,"43"" Display4K UHD QLED100% Color Volume With Quantum DotQuantum HDR",27-Apr-20,https://m.media-amazon.com/images/I/61kYpFNV1jL._AC_UY218_.jpg,0,4.8,6,Samsung QN43Q60TA Ultra High Definition Smart 4K Quantum HDR QLED TV (2020) (Renewed),https://www.amazon.com/Samsung-QN43Q60TA-Definition-Quantum-Renewed/dp/B087QRYTHM/ref=sr_1_180?dchild=1&keywords=TV&qid=1614296770&sr=8-180,27.5
B08129Q548,28.78 x 18.34 x 7.94,2,"#19,172 in Electronics #173 in LED & LCD TVs",Sceptre,Genesis Official Store,"LED With sharper contrasts of light and darks, LED display delivers a vast array of rich colors, ensuring that moving images have never been so pleasing to the eyes. LED Display offers a lifelike picture, complete with bright colors and crisp images.MEMC 120 With a MEMC 120 (Motion Estimation and Motion Compensation), all action-packed sequences will flow smoothly from frame to frame for the ultimate experience. Enjoy every moment of the auto enhanced picture quality especially for all your favorite sports, video games, and movies packed with action.HDMI HDMI not only delivers superior digital video and audio, but also, connects both to the TV with only one cable.Mobile High-Definition Link (MHL) MHL allows streaming of contents from your compatible smartphone or tablet to Sceptre TV, which capitalize on the visually enhanced picture quality.USB Port Lets you view your pictures as a slideshow or listen to your favorite music via the USB port. Just insert your flash drive into the USB port for the ultimate entertainment.",5-Nov-19,https://m.media-amazon.com/images/I/51JDqzzdi8L._AC_UY218_.jpg,149.97,4.5,479,"Sceptre 32 inch Full 1080p LED HDTV HDMI USB MHL VGA with Clear QAM, Machine Black",https://www.amazon.com/Sceptre-1080p-Clear-Machine-Black/dp/B08129Q548/ref=sr_1_169?dchild=1&keywords=TV&qid=1614296768&sr=8-169,13.27
B081S7VMRN,50.25 x 4.17 x 29.76,5,"#92,750 in Electronics #661 in LED & LCD TVs",Furrion,Furrion,"Crystal Clear & Bright: The 4K Ultra-High Definition screen delivers vivid and ultra-bright picture quality thanks to the 700-nit brightness, anti-glare LCD screen. Designed with built-in speakers for partially-shaded outdoor living areas like patios, decks, yardsMore Visibility, Anti-Glare: Enjoy your favorite shows and movies even on sunny days with an anti-glare display that minimizes reflection and enhances picture contrast. Experience brilliant viewing any time of day with built-in auto-brightness control & wide viewing anglesMade to Live Outdoors: Weatherproof IP54 housing is designed for permanent outdoor installation and is engineered to withstand, rain, snow, UV rays, dirt, salt and humidity. The media bay at the back is sealed with gaskets to protect all input/output controlsEngineered for All Climates: Built to cope with extreme temperature variations with ease, whether sub-zero temperatures in winter or extreme heat in summer. The 4 built-in fans help to keep the unit cool and ensure internal components protection and durabilityWarranty & Accessories: Furrion Outdoor TV's are manufactured to the highest quality and industry standards and are backed by Furrion's 1-year warranty. IP67 rated waterproof remote control Included",20-Nov-19,https://m.media-amazon.com/images/I/61xmGXKbl8L._AC_UY218_.jpg,2299.99,4.4,35,Furrion Aurora - Partial Sun Series 55-Inch Weatherproof 4K Ultra-High Definition LED Outdoor Television with Auto-Brightness Control for Outdoor Entertainment - FDUP55CBR,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg13_1?ie=UTF8&adId=A0981205DP1BNTNSTELM&url=%2FFurrion-Aurora-Weatherproof-Auto-Brightness-Entertainment%2Fdp%2FB081S7VMRN%2Fref%3Dsr_1_194_sspa%3Fdchild%3D1%26keywords%3DTV%26qid%3D1614296773%26sr%3D8-194-spons%26psc%3D1%26smid%3DAXTYDUOH6EBGV&qualifier=1614296776&id=1625481201896791&widgetName=sp_atf_next,61
